"docname","sentence","datelabel","isodate"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","The preferred option is to combine simplified and more ambitious LULUCF national targets in 2030 (as in Option 1","2030","2030-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","The third option combines emissions from the Agriculture sector and emissions and removals from the LULUCF sector under a single “land sector” pillar, and features three elements: a planning process to ensure land-based climate neutrality in 2035, national binding targets for the land sector in 2030, and national binding targets for the land sector in 2035","2030","2030-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","The second option also sets a single removal target based on reported emissions and removals, but it proposes a lower EU target for 2030 corresponding to the recent performance of the LULUCF sector (i","2030","2030-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","Policy options Following this analysis and the elements outlined in the Communication on Stepping up Europe’s 2030 climate ambition, the Impact Assessment described three options","2030","2030-01-01"
"Communication: New EU Forest Strategy for 2030","The commitments and actions proposed in the Strategy will contribute to achieving the EU’s greenhouse gas emission reduction target of at least 55% in 2030, as set out in the European Climate Law 9 , and which will be implemented by the measures laid out in the in the Fit for 55 package 10","2030","2030-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","•Impact assessment The Impact Assessments for the different initiatives are based on integrated modelling scenarios that reflect the interaction of different policy instruments on economic operators, in order to ensure complementarity, coherence and effectiveness in achieving the 2030 and 2050 climate ambition","2030","2030-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","The MIX scenario projects that the net LULUCF sink by 2030 will be at similar levels as in the period 2016-2018","2030","2030-01-01"
"Communication: New EU Forest Strategy for 2030","The next decade is crucial and the Strategy therefore presents a concrete plan for 2030, combining regulatory, financial and voluntary measures","2030","2030-01-01"
"Communication: New EU Forest Strategy for 2030","The Strategy also focuses on sustainable re- and afforestation and is accompanied by a roadmap for planting at least 3 billion additional trees in the EU by 2030","2030","2030-01-01"
"Communication: New EU Forest Strategy for 2030","High ambitions on forests are coherent with EU’s efforts to lead on the climate agenda and to implement the 2030 EU biodiversity strategy including with an ambitious Global Biodiversity Framework","2030","2030-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","The European Climate Law sets out the binding Union 2030 climate target for a domestic reduction of net greenhouse gas emissions by at least 55% compared to 1990 levels by 2030","2030","2030-01-01"
"Communication: New EU Forest Strategy for 2030","Wood of high ecological value should not be used, and the wood-based bioeconomy should remain within the boundaries of sustainability and be compatible with the EU’s 2030 and 2050 climate targets and biodiversity objectives","2030","2030-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","An increase in the 2030 target for EU GHG reductions will impact most, if not all, sectors across the EU economy","2030","2030-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","More specifically, action at EU level will provide for cost effective delivery of the 2030 and long-term emission reduction objectives while ensuring fairness and environmental integrity","2030","2030-01-01"
"Revision of the Regulation on the inclusion of greenhouse gas emissions and removals from land use, land use change and forestry","2021 COM(2021) 554 final ANNEX  to the Proposal for a REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL amending Regulations (EU) 2018/841 as regards the scope, simplifying the compliance rules, setting out the targets of the Member States for 2030 and committing to the collective achievement of climate neutrality by 2035 in the land use, forestry and agriculture sector, and (EU) 2018/1999 as regards improvement in monitoring, reporting, tracking of progress and review {SEC(2021) 554 final} - {SWD(2021) 551 final} - {SWD(2021) 609 final} - {SWD(2021) 610 final} ANNEX I In Annex I to Regulation (EU) 2018/841, section B is replaced by the following: ‘B","2030","2030-01-01"
"Proposal for a Directive on energy efficiency (recast)","Member States shall collectively ensure a reduction of energy consumption of at least 9 % in 2030 compared to the projections of the 2020 Reference Scenario so that the Union’s final energy consumption amounts to no more than 787 Mtoe and the Union’s 2030 primary energy consumption amounts to no more than 1023 Mtoe in 2030","2030","2030-01-01"
"Effort Sharing Regulation","This proposal, while revising the targets to be achieved by each Member States by 2030, does not impose additional administrative burden on national administrations, as main actors in this regard targeted by the ESR","2030","2030-01-01"
